Student ID,gwa,low_subject_count,borderline_subject_count,overall_attendance_avg,low_attendance_subject_count,min_attendance_rate,at_risk,risk_prob
1.15069E+11,72.5,2.0,3.0,80.6,2.0,60.0,1,0.4312
1.07527E+11,83.7,3.0,0.0,79.8,1.0,73.0,0,0.1201
1.1703E+11,71.4,3.0,1.0,73.4,3.0,71.0,1,0.6444
1.14502E+11,85.1,0.0,3.0,82.9,3.0,65.0,0,0.0361
1.08249E+11,77.8,2.0,1.0,75.2,3.0,52.0,0,0.2399
2.51501E+11,82.4,0.0,2.0,94.6,0.0,63.0,0,0.0183
1.36755E+11,76.9,1.0,1.0,80.5,3.0,56.0,0,0.1105
1.08235E+11,70.6,3.0,0.0,77.9,1.0,89.0,0,0.5498
1.08239E+11,64.0,3.0,1.0,74.2,4.0,67.0,1,0.9273
1.08236E+11,85.4,1.0,3.0,82.9,3.0,89.0,0,0.0609
1.08249E+11,86.3,0.0,3.0,93.2,0.0,78.0,0,0.0188
1.08247E+11,75.6,2.0,0.0,82.1,2.0,66.0,0,0.1576
1.08239E+11,70.0,3.0,2.0,82.5,1.0,77.0,1,0.6117
1.08247E+11,71.1,2.0,0.0,84.5,4.0,84.0,0,0.2774
1.08482E+11,74.8,3.0,3.0,67.6,2.0,50.0,1,0.6487
1.08479E+11,81.1,0.0,1.0,80.8,1.0,62.0,0,0.0203
1.08243E+11,75.3,2.0,2.0,83.8,3.0,79.0,0,0.2292
1.08234E+11,89.4,0.0,2.0,96.4,4.0,81.0,0,0.0314
1.08245E+11,78.8,2.0,2.0,80.8,0.0,55.0,0,0.1033
1.08239E+11,66.0,3.0,3.0,69.0,1.0,77.0,0,0.9012
1.3676E+11,83.7,0.0,2.0,87.3,0.0,62.0,0,0.0185
1.14256E+11,85.0,0.0,2.0,83.8,4.0,82.0,0,0.0314
1.08249E+11,79.3,2.0,1.0,78.2,0.0,61.0,0,0.0899
1.08421E+11,71.6,1.0,2.0,81.9,0.0,51.0,1,0.1996
1.08245E+11,80.6,1.0,3.0,83.5,3.0,75.0,0,0.0639
1.08239E+11,73.0,3.0,1.0,70.3,2.0,66.0,1,0.6492
2.51501E+11,82.2,2.0,1.0,72.0,2.0,65.0,0,0.1551
1.08243E+11,80.0,0.0,0.0,82.2,3.0,85.0,0,0.0187
1.07924E+11,67.4,2.0,1.0,79.3,3.0,82.0,1,0.5961
1.08234E+11,76.2,3.0,3.0,76.3,0.0,74.0,0,0.352
1.0825E+11,90.7,1.0,2.0,84.0,1.0,51.0,0,0.0483
1.12688E+11,85.3,0.0,3.0,87.5,0.0,84.0,0,0.0184
1.08247E+11,77.1,2.0,3.0,79.5,0.0,73.0,0,0.1524
1.08472E+11,76.9,3.0,2.0,84.9,0.0,84.0,0,0.198
1.14739E+11,80.1,0.0,0.0,79.5,2.0,65.0,0,0.0217
4.02666E+11,78.3,0.0,0.0,84.9,2.0,66.0,0,0.0255
1.23216E+11,73.4,3.0,0.0,91.3,4.0,57.0,1,0.4414
1.08243E+11,75.6,2.0,2.0,86.3,0.0,54.0,0,0.1728
1.08472E+11,83.0,3.0,0.0,75.8,0.0,77.0,0,0.1275
N/A Student ,82.8,1.0,0.0,80.3,4.0,73.0,0,0.0528
1.36819E+11,95.0,0.0,0.0,92.7,3.0,70.0,0,0.0206
4.23566E+11,72.1,3.0,2.0,67.3,1.0,80.0,1,0.744
1.08507E+11,84.1,1.0,1.0,76.6,2.0,51.0,1,0.07
1.09853E+11,83.4,1.0,0.0,90.9,1.0,84.0,0,0.0261
1.08249E+11,78.3,1.0,0.0,83.0,3.0,69.0,0,0.0577
1084300766,89.8,0.0,3.0,88.3,3.0,83.0,0,0.0312
1.36763E+11,78.2,1.0,3.0,82.4,4.0,71.0,0,0.1104
4.24662E+11,87.7,0.0,3.0,78.6,4.0,81.0,0,0.047
4.04897E+11,80.2,3.0,1.0,79.2,4.0,79.0,0,0.2153
4.24643E+11,68.0,2.0,0.0,69.0,1.0,86.0,1,0.6698
2.51501E+11,79.3,1.0,0.0,78.0,0.0,50.0,0,0.0446
1.08247E+11,76.3,2.0,1.0,78.0,4.0,50.0,0,0.3048
1.08481E+11,78.3,1.0,3.0,80.7,3.0,54.0,1,0.1167
No,71.6,3.0,3.0,71.3,0.0,79.0,1,0.7177
4.2455E+11,83.4,0.0,2.0,87.6,2.0,81.0,0,0.0221
2.26502E+11,80.1,0.0,3.0,87.3,1.0,77.0,0,0.0226
